Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
ST CATHERINES FROEDTERT SOUTH,PLEASANT PRAIRIE,WI,Choice,2025-06-30,579,2025-06
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,Choice,2025-06-30,293,2025-06
ST CHRISTOPHERS HOSPITAL FOR,PHILADELPHIA,PA,Abbott Exclusive,2025-06-30,235,2025-06
WEST FLORIDA HOSPITAL,PENSACOLA,FL,MJN Exclusive,2025-06-30,748,2025-06
BBH WALKER BAPTIST,JASPER,AL,MJN Exclusive,2025-06-30,1500,2025-06
RAPIDES REGIONAL MEDICAL CENTER,ALEXANDRIA,LA,MJN Exclusive,2025-06-30,2139,2025-06
RARITAN BAY MEDICAL CENTER,PERTH AMBOY,NJ,Abbott Exclusive,2025-06-30,985,2025-06
RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,Abbott Exclusive,2025-06-30,3623,2025-06
SOUTHWEST MEMORIAL HOSPITAL,CORTEZ,CO,MJN Exclusive,2025-06-30,173,2025-06
CENTERPOINT MEDICAL CENTER,INDEPENDENCE,MO,Abbott Exclusive,2025-06-30,1031,2025-06
BEAUMONT HOSP FARMINGTON HILLS,FARMINGTON HILLS,MI,Abbott Exclusive,2025-06-30,680,2025-06
CENTINELA HOSP MED CTR,INGLEWOOD,CA,MJN Exclusive,2025-06-30,870,2025-06
SOUTHWESTERN MEDICAL CENTER,LAWTON,OK,MJN Exclusive,2025-06-30,616,2025-06
WILLAMETTE VALLEY MEDICAL CENTER,MCMINNVILLE,OR,Abbott Exclusive,2025-06-30,105,2025-06
WHITESBURG ARH HOSPITAL,WHITESBURG,KY,Choice,2025-06-30,510,2025-06
HOLY CROSS HOSPITAL,NOGALES,AZ,Choice,2025-06-30,684,2025-06
RESEARCH MEDICAL CENTER,KANSAS CITY,MO,Abbott Exclusive,2025-06-30,1032,2025-06
RENOWN REG MED CTR,RENO,NV,MJN Exclusive,2025-06-30,4600,2025-06
JERSEY SHORE UNIVERSITY MED CENTER,NEPTUNE,NJ,Choice,2025-06-30,3169,2025-06
JFK MEDICAL CENTER,EDISON,NJ,Abbott Exclusive,2025-06-30,1395,2025-06
JOHN F KENNEDY MEM HOSP,INDIO,CA,Abbott Exclusive,2025-06-30,1248,2025-06
CENTRASTATE MEDICAL CENTER,FREEHOLD,NJ,MJN Exclusive,2025-06-30,888,2025-06
BEACON CHILDRENS MEMORIAL HOSP,SOUTH BEND,IN,Abbott Exclusive,2025-06-30,2685,2025-06
HSHS ST MARYS HOSPITAL MED CTR,GREEN BAY,WI,Abbott Exclusive,2025-06-30,0,2025-06
REDINGTON-FAIRVIEW GENERAL HOSPITAL,SKOWHEGAN,ME,Abbott Exclusive,2025-06-30,103,2025-06
READING HOSPITAL AND MEDICAL CTR,WEST READING,PA,Abbott Exclusive,2025-06-30,3203,2025-06
CARY MEDICAL CENTER,CARIBOU,ME,MJN Exclusive,2025-06-30,195,2025-06
ACADIAN MEDICAL CENTER,EUNICE,LA,MJN Exclusive,2025-06-30,602,2025-06
LEGACY SILVERTON MEDICAL CENTER,SILVERTON,OR,MJN Exclusive,2025-06-30,1252,2025-06
LAKEVIEW REGIONAL MEDICAL CENTER,COVINGTON,LA,MJN Exclusive,2025-06-30,1262,2025-06
FAITH REG HLTH SVCS,NORFOLK,NE,Abbott Exclusive,2025-06-30,895,2025-06
UCF LAKE NONA MEDICAL CENTER,ORLANDO,FL,MJN Exclusive,2025-06-30,875,2025-06
GLENWOOD REGIONAL MEDICAL CENTER,WEST MONROE,LA,MJN Exclusive,2025-06-30,0,2025-06
UNIV OF KANSAS ST FRANCIS CAMPUS,TOPEKA,KS,Abbott Exclusive,2025-06-30,885,2025-06
MISSION TRAIL BAPTIST HOSPITAL,SAN ANTONIO,TX,Abbott Exclusive,2025-06-30,1110,2025-06
MISSION REGIONAL MEDICAL CENTER,MISSION,TX,MJN Exclusive,2025-06-30,1876,2025-06
MISSION HOSPITAL MCDOWELL,MARION,NC,Abbott Exclusive,2025-06-30,274,2025-06
MISSION HOSPITAL,ASHEVILLE,NC,Abbott Exclusive,2025-06-30,3987,2025-06
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,Choice,2025-06-30,761,2025-06
MINDEN MEDICAL CENTER,MINDEN,LA,Abbott Exclusive,2025-06-30,747,2025-06
MID COAST HOSPITAL,BRUNSWICK,ME,Abbott Exclusive,2025-06-30,582,2025-06
FORT WALTON BEACH MEDICAL CENTER,FORT WALTON BEACH,FL,MJN Exclusive,2025-06-30,450,2025-06
UCI HEALTH FOUNTAIN VAILLEY,FOUNTAIN VALLEY,CA,MJN Exclusive,2025-06-30,1322,2025-06
MAYO REGIONAL HOSPITAL,DOVER FOXCROFT,ME,MJN Exclusive,2025-06-30,100,2025-06
FRANCISCAN ST FRANCIS HEALTH,INDIANAPOLIS,IN,Abbott Exclusive,2025-06-30,2220,2025-06
METHODIST MANSFIELD MED CTR,MANSFIELD,TX,MJN Exclusive,2025-06-30,2400,2025-06
FRANCISCAN ST JAMES HEALTH,OLYMPIA FIELDS,IL,Abbott Exclusive,2025-06-30,640,2025-06
FRANCISCAN ST MARGARET HEALTH,DYER,IN,Abbott Exclusive,2025-06-30,561,2025-06
METHODIST CHARLTON MED CTR,DALLAS,TX,MJN Exclusive,2025-06-30,1895,2025-06
FRANKFORT REGIONAL MEDICAL CENTER,FRANKFORT,KY,MJN Exclusive,2025-06-30,748,2025-06
MERIT HEALTH WESLEY,HATTIESBURG,MS,Abbott Exclusive,2025-06-30,953,2025-06
MONTCLAIR HOSP MED CTR,CHINO,CA,MJN Exclusive,2025-06-30,305,2025-06
TULANE - LAKESIDE HOSPITAL,METAIRIE,LA,MJN Exclusive,2025-06-30,2017,2025-06
BRODSTONE MEMORIAL HOSPITAL,SUPERIOR,NE,MJN Exclusive,2025-06-30,33,2025-06
MONTROSE MEMORIAL HOSPITAL,MONTROSE,CO,MJN Exclusive,2025-06-30,432,2025-06
HUNT REG MED CTR AT GREENVILLE,GREENVILLE,TX,MJN Exclusive,2025-06-30,1543,2025-06
THE MEDICAL CENTER OF AURORA,AURORA,CO,MJN Exclusive,2025-06-30,780,2025-06
MACNEAL HOSPITAL,BERWYN,IL,Abbott Exclusive,2025-06-30,800,2025-06
MAD RIVER COMM HOSP,ARCATA,CA,Choice,2025-06-30,571,2025-06
NACOGDOCHES MEDICAL CTR,NACOGDOCHES,TX,MJN Exclusive,2025-06-30,1110,2025-06
ELKHART GENERAL HOSPITAL,ELKHART,IN,Abbott Exclusive,2025-06-30,1192,2025-06
THREE RIVERS HEALTH,THREE RIVERS,MI,MJN Exclusive,2025-06-30,245,2025-06
UNIV OF UTAH MED CTR,SALT LAKE CITY,UT,Abbott Exclusive,2025-06-30,4425,2025-06
MADISON MEM HOSP,REXBURG,ID,MJN Exclusive,2025-06-30,1928,2025-06
MAINE MEDICAL CENTER,PORTLAND,ME,Abbott Exclusive,2025-06-30,3654,2025-06
MERIT HEALTH RIVER REGION,VICKSBURG,MS,MJN Exclusive,2025-06-30,340,2025-06
MOUNTAINVIEW REG MEDICAL CENTER,LAS CRUCES,NM,MJN Exclusive,2025-06-30,1160,2025-06
MOUNTAIN VISTA MEDICAL CENTER,MESA,AZ,Abbott Exclusive,2025-06-30,932,2025-06
MOUNTAIN VIEW HOSPITAL,IDAHO FALLS,ID,MJN Exclusive,2025-06-30,1693,2025-06
TRI VALLEY HEALTH SYSTEM,CAMBRIDGE,NE,MJN Exclusive,2025-06-30,82,2025-06
TRINITY HEALTH MUSKEGON,MUSKEGON,MI,Abbott Exclusive,2025-06-30,2050,2025-06
TRISTAR CENTENNIAL MEDICAL CTR,NASHVILLE,TN,Abbott Exclusive,2025-06-30,3800,2025-06
MOUNT CARMEL ST ANNS HOSPITAL,WESTERVILLE,OH,Abbott Exclusive,2025-06-30,3545,2025-06
MOUNT CARMEL GROVE CITY HOSPITAL,GROVE CITY,OH,Abbott Exclusive,2025-06-30,1084,2025-06
MOUNT CARMEL EAST HOSPITAL,COLUMBUS,OH,Abbott Exclusive,2025-06-30,2117,2025-06
MARGARET MARY HEALTH,BATESVILLE,IN,MJN Exclusive,2025-06-30,495,2025-06
TUG VALLEY ARH REGIONAL MEDICAL CTR,SOUTH WILLIAMSON,KY,Other,2025-06-30,0,2025-06
MOUNTAINVIEW HOSPITAL,LAS VEGAS,NV,Abbott Exclusive,2025-06-30,2760,2025-06
TENNOVA HEALTHCARE  CLARKSVILLE,CLARKSVILLE,TN,Other,2025-06-30,2535,2025-06
MERIT HEALTH RIVER OAKS,FLOWOOD,MS,Choice,2025-06-30,2429,2025-06
MERCYONE WEST DES MOINES MED CTR,WEST DES MOINES,IA,Abbott Exclusive,2025-06-30,735,2025-06
UNION GENERAL HOSPITAL,BLAIRSVILLE,GA,MJN Exclusive,2025-06-30,635,2025-06
MERCY HEALTH CENTER,OKLAHOMA CITY,OK,MJN Exclusive,2025-06-30,3806,2025-06
MCLEOD REGIONAL MEDICAL CENTER,FLORENCE,SC,Abbott Exclusive,2025-06-30,2109,2025-06
MENORAH MEDICAL CENTER,OVERLAND PARK,KS,Abbott Exclusive,2025-06-30,680,2025-06
MENA REGIONAL HEALTH SYSTEM,MENA,AR,MJN Exclusive,2025-06-30,210,2025-06
MEMORIAL UNIVERSITY MEDICAL CTR,SAVANNAH,GA,Abbott Exclusive,2025-06-30,4550,2025-06
MEMORIAL SATILLA HEALTH,WAYCROSS,GA,MJN Exclusive,2025-06-30,460,2025-06
MEDICAL CENTER OF TRINITY,TRINITY,FL,MJN Exclusive,2025-06-30,1400,2025-06
MEMORIAL MEDICAL CENTER,LAS CRUCES,NM,MJN Exclusive,2025-06-30,620,2025-06
MEDICAL CITY DECATUR,DECATUR,TX,Abbott Exclusive,2025-06-30,500,2025-06
MEDICAL CITY WEATHERFORD,WEATHERFORD,TX,MJN Exclusive,2025-06-30,695,2025-06
MEMORIAL HOSPITAL OF UNION COUNTY,MARYSVILLE,OH,MJN Exclusive,2025-06-30,600,2025-06
MEMORIAL HOSPITAL AT GULFPORT,GULFPORT,MS,MJN Exclusive,2025-06-30,3077,2025-06
GARDEN CITY HOSPITAL,GARDEN CITY,MI,MJN Exclusive,2025-06-30,128,2025-06
MEMORIAL HOSPITAL,NORTH CONWAY,NH,Choice,2025-06-30,215,2025-06
SHOREPOINT HEALTH PORT CHARLOTTE,PORT CHARLOTTE,FL,MJN Exclusive,2025-06-30,757,2025-06
MEMORIAL HOSP-LONG BEACH,LONG BEACH,CA,Abbott Exclusive,2025-06-30,5850,2025-06
BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,VT,MJN Exclusive,2025-06-30,335,2025-06
BRADLEY MEDICAL CENTER,CLEVELAND,TN,Abbott Exclusive,2025-06-30,823,2025-06
BOYS TOWN NATIONAL RESEARCH HOSP,OMAHA,NE,MJN Exclusive,2025-06-30,1,2025-06
BOYS TOWN NAT RESEARCH HOSP WEST,BOYS TOWN,NE,MJN Exclusive,2025-06-30,45,2025-06
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,MJN Exclusive,2025-06-30,269,2025-06
MERCY HOSPITAL,SAINT LOUIS,MO,MJN Exclusive,2025-06-30,8766,2025-06
MERCY HOSPITAL,SPRINGFIELD,MO,MJN Exclusive,2025-06-30,3895,2025-06
MERCY HOSPITAL ADA,ADA,OK,MJN Exclusive,2025-06-30,398,2025-06
MERCYONE NORTH IOWA MEDICAL CTR,MASON CITY,IA,Abbott Exclusive,2025-06-30,697,2025-06
MERCYONE NEWTON MEDICAL CENTER,NEWTON,IA,Abbott Exclusive,2025-06-30,112,2025-06
MERCYONE DUBUQUE MEDICAL CENTER,DUBUQUE,IA,Abbott Exclusive,2025-06-30,650,2025-06
MERCYONE DES MOINES MEDICAL CTR,DES MOINES,IA,Abbott Exclusive,2025-06-30,4350,2025-06
UNITYPOINT HEALTH METHODIST,PEORIA,IL,MJN Exclusive,2025-06-30,1808,2025-06
ARNOLD PALMER HOSPITAL FOR CHILDREN,ORLANDO,FL,MJN Exclusive,2025-06-30,0,2025-06
MERCY MEDICAL CENTER,SPRINGFIELD,MA,Choice,2025-06-30,776,2025-06
FRANKLIN FOUNDATION HOSPITAL,FRANKLIN,LA,MJN Exclusive,2025-06-30,165,2025-06
ARKANSAS VALLEY REGIONAL MED CTR,LA JUNTA,CO,MJN Exclusive,2025-06-30,216,2025-06
FRANKLIN MEMORIAL HOSPITAL,FARMINGTON,ME,Abbott Exclusive,2025-06-30,220,2025-06
MERIT HEALTH NATCHEZ,NATCHEZ,MS,MJN Exclusive,2025-06-30,473,2025-06
GENESIS MED CTR-DAVENPORT,DAVENPORT,IA,Abbott Exclusive,2025-06-30,2000,2025-06
MERCY JOPLIN HOSPITAL,JOPLIN,MO,MJN Exclusive,2025-06-30,1261,2025-06
MERCY HOSPITAL WASHINGTON,WASHINGTON,MO,MJN Exclusive,2025-06-30,897,2025-06
MERCY HOSPITAL SOUTH,SAINT LOUIS,MO,MJN Exclusive,2025-06-30,1175,2025-06
MERCY HOSPITAL ROGERS,ROGERS,AR,MJN Exclusive,2025-06-30,1672,2025-06
MERCY HOSPITAL LEBANON,LEBANON,MO,MJN Exclusive,2025-06-30,365,2025-06
MERCY HOSPITAL JEFFERSON,CRYSTAL CITY,MO,MJN Exclusive,2025-06-30,523,2025-06
MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,MJN Exclusive,2025-06-30,2758,2025-06
MERCY HOSPITAL AURORA,AURORA,MO,MJN Exclusive,2025-06-30,278,2025-06
MERCY HOSPITAL ARDMORE,ARDMORE,OK,MJN Exclusive,2025-06-30,800,2025-06
MCLEOD MEDICAL CENTER DILLON,DILLON,SC,Abbott Exclusive,2025-06-30,300,2025-06
MCLEOD HEALTH LORIS,LORIS,SC,Abbott Exclusive,2025-06-30,474,2025-06
UNIVERSITY HOSPITAL,ANN ARBOR,MI,MJN Exclusive,2025-06-30,5422,2025-06
NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,MJN Exclusive,2025-06-30,761,2025-06
SWEDISH MEDICAL CENTER,ENGLEWOOD,CO,Abbott Exclusive,2025-06-30,1375,2025-06
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,MJN Exclusive,2025-06-30,2681,2025-06
LESTER E COX MED CTR,SPRINGFIELD,MO,Abbott Exclusive,2025-06-30,3170,2025-06
LEWISGALE HOSPITAL - MONTGOMERY,BLACKSBURG,VA,Abbott Exclusive,2025-06-30,715,2025-06
ST MARKS HOSPITAL,SALT LAKE CITY,UT,Abbott Exclusive,2025-06-30,2725,2025-06
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,MJN Exclusive,2025-06-30,1545,2025-06
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,MJN Exclusive,2025-06-30,300,2025-06
GRITMAN MEDICAL CENTER,MOSCOW,ID,MJN Exclusive,2025-06-30,308,2025-06
DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,MJN Exclusive,2025-06-30,1820,2025-06
VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,AZ,MJN Exclusive,2025-06-30,336,2025-06
VALLEY BAPT MED CTR BROWNSVILLE,BROWNSVILLE,TX,MJN Exclusive,2025-06-30,2251,2025-06
DECATUR COUNTY MEMORIAL HOSPITAL,GREENSBURG,IN,MJN Exclusive,2025-06-30,254,2025-06
LINCOLNHEALTH MILES CAMPUS,DAMARISCOTTA,ME,Abbott Exclusive,2025-06-30,153,2025-06
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,MJN Exclusive,2025-06-30,950,2025-06
ST MARY MEDICAL CENTER,LANGHORNE,PA,Abbott Exclusive,2025-06-30,1200,2025-06
LITTLETON REGIONAL HOSPITAL,LITTLETON,NH,MJN Exclusive,2025-06-30,249,2025-06
ST MARYS HOSP,WEST PALM BEACH,FL,MJN Exclusive,2025-06-30,2546,2025-06
NORTHWEST MEDICAL CENTER,TUCSON,AZ,Abbott Exclusive,2025-06-30,1633,2025-06
NORTHWEST HEALTH PORTER,VALPARAISO,IN,Abbott Exclusive,2025-06-30,1562,2025-06
ST MARYS HOSPITAL,COTTONWOOD,ID,Abbott Exclusive,2025-06-30,39,2025-06
CRAWFORD MEMORIAL HOSPITAL,ROBINSON,IL,MJN Exclusive,2025-06-30,185,2025-06
SCRIPPS MEMORIAL HOSP,CHULA VISTA,CA,Choice,2025-06-30,1559,2025-06
LEHIGH VALLEY HOSPITAL,ALLENTOWN,PA,Abbott Exclusive,2025-06-30,3400,2025-06
ST LUKES BAPTIST HOSPITAL,SAN ANTONIO,TX,Abbott Exclusive,2025-06-30,4594,2025-06
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,MJN Exclusive,2025-06-30,3000,2025-06
ST JOSEPH MERCY HOSPITAL,YPSILANTI,MI,Abbott Exclusive,2025-06-30,4157,2025-06
ORANGE COAST MEM MED CTR,FOUNTAIN VALLEY,CA,Abbott Exclusive,2025-06-30,2035,2025-06
ST JOSEPH REGIONAL MEDICAL CTR,LEWISTON,ID,MJN Exclusive,2025-06-30,640,2025-06
ST JOSEPHS HOSPITAL,TUCSON,AZ,MJN Exclusive,2025-06-30,1305,2025-06
YORK HOSPITAL,YORK,PA,Abbott Exclusive,2025-06-30,3271,2025-06
ST JOSEPHS HOSPITAL HEALTH CENTER,SYRACUSE,NY,Abbott Exclusive,2025-06-30,1967,2025-06
WALDO COUNTY GENERAL HOSPITAL,BELFAST,ME,Abbott Exclusive,2025-06-30,150,2025-06
COPLEY HOSPITAL INC,MORRISVILLE,VT,Choice,2025-06-30,211,2025-06
DELTA COUNTY MEM HOSP,DELTA,CO,MJN Exclusive,2025-06-30,202,2025-06
GULF COAST REGIONAL MEDICAL CENTER,PANAMA CITY,FL,MJN Exclusive,2025-06-30,3122,2025-06
VAUGHAN REGIONAL MEDICAL CENTER,SELMA,AL,MJN Exclusive,2025-06-30,1115,2025-06
LE BONHEUR CHILDRENS INPATIENT,JACKSON,TN,Other,2025-06-30,0,2025-06
SCRIPPS MEM HOSP ENCINIT,ENCINITAS,CA,Choice,2025-06-30,1775,2025-06
LEGACY GOOD SAMARITAN HOSP,PORTLAND,OR,MJN Exclusive,2025-06-30,866,2025-06
LEGACY MERIDIAN PARK HOSP,TUALATIN,OR,MJN Exclusive,2025-06-30,848,2025-06
LEGACY MT HOOD MEDICAL CTR,GRESHAM,OR,MJN Exclusive,2025-06-30,634,2025-06
LEGACY SALMON CREEK MED CTR,VANCOUVER,WA,MJN Exclusive,2025-06-30,3394,2025-06
HSHS ST MARYS HOSPITAL,DECATUR,IL,MJN Exclusive,2025-06-30,0,2025-06
OAK HILL HOSPITAL,BROOKSVILLE,FL,MJN Exclusive,2025-06-30,1496,2025-06
VISTA MEDICAL CENTER EAST,WAUKEGAN,IL,MJN Exclusive,2025-06-30,805,2025-06
LOGANSPORT MEMORIAL HOSPITAL,LOGANSPORT,IN,MJN Exclusive,2025-06-30,460,2025-06
NORTHWEST MEDICAL CENTER HOUGHTON,TUCSON,AZ,Abbott Exclusive,2025-06-30,600,2025-06
DESERT VALLEY HOSPITAL,VICTORVILLE,CA,MJN Exclusive,2025-06-30,601,2025-06
SCRIPPS MEMORIAL HOSP,LA JOLLA,CA,Choice,2025-06-30,3175,2025-06
NORTHEAST BAPTIST HOSPITAL,SAN ANTONIO,TX,MJN Exclusive,2025-06-30,0,2025-06
DOWN EAST COMMUNITY HOSPITAL,MACHIAS,ME,Abbott Exclusive,2025-06-30,165,2025-06
GRAND STRAND REGIONAL MEDICAL CTR,MYRTLE BEACH,SC,Abbott Exclusive,2025-06-30,884,2025-06
NORTH TX MED CTR,GAINESVILLE,TX,MJN Exclusive,2025-06-30,509,2025-06
NORTH SUBURBAN MEDICAL CENTER,THORNTON,CO,MJN Exclusive,2025-06-30,1019,2025-06
NORTH SHORE MED CTR,MIAMI,FL,MJN Exclusive,2025-06-30,0,2025-06
NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,MJN Exclusive,2025-06-30,2955,2025-06
NORTHPORT MEDICAL CENTER,NORTHPORT,AL,MJN Exclusive,2025-06-30,1960,2025-06
LOYOLA UNIVERSITY MEDICAL CENTER,MAYWOOD,IL,Abbott Exclusive,2025-06-30,1089,2025-06
LONGVIEW REGIONAL MEDICAL CENTER,LONGVIEW,TX,Abbott Exclusive,2025-06-30,2192,2025-06
ST MARYS REG MED CTR,RENO,NV,MJN Exclusive,2025-06-30,0,2025-06
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,MJN Exclusive,2025-06-30,3206,2025-06
BAPTIST MEDICAL CENTER,SAN ANTONIO,TX,MJN Exclusive,2025-06-30,0,2025-06
LOS ROBLES HOSPITAL AND MED CTR,THOUSAND OAKS,CA,MJN Exclusive,2025-06-30,1960,2025-06
NORTH CENTRAL BAPTIST HOSPITAL,SAN ANTONIO,TX,Abbott Exclusive,2025-06-30,5198,2025-06
ST MARYS HOSPITAL,PASSAIC,NJ,MJN Exclusive,2025-06-30,575,2025-06
NORTHEASTERN NEVADA REG HOSPITAL,ELKO,NV,MJN Exclusive,2025-06-30,510,2025-06
ST PETERSBURG GENERAL HOSPITAL,SAINT PETERSBURG,FL,MJN Exclusive,2025-06-30,408,2025-06
STEPHENS MEMORIAL HOSPITAL,NORWAY,ME,Abbott Exclusive,2025-06-30,226,2025-06
NORTHERN LIGHT MERCY HOSPITAL,PORTLAND,ME,MJN Exclusive,2025-06-30,631,2025-06
NAVARRO REGIONAL HOSPITAL,CORSICANA,TX,MJN Exclusive,2025-06-30,560,2025-06
NORTHERN LIGHT MAINE COAST HOSP,ELLSWORTH,ME,MJN Exclusive,2025-06-30,169,2025-06
NORTHERN LIGHT INLAND HOSPITAL,WATERVILLE,ME,MJN Exclusive,2025-06-30,300,2025-06
DESERT REGIONAL MEDICAL CENTER,PALM SPRINGS,CA,MJN Exclusive,2025-06-30,2240,2025-06
NORTHERN LIGHT E MAINE MED CTR,BANGOR,ME,MJN Exclusive,2025-06-30,1650,2025-06
ALBANY MEDICAL CTR,ALBANY,NY,MJN Exclusive,2025-06-30,2517,2025-06
UNIVERSITY HOSPITAL IN DAVIE,DAVIE,FL,MJN Exclusive,2025-06-30,1833,2025-06
SUSAN B ALLEN MEM HOSP,EL DORADO,KS,MJN Exclusive,2025-06-30,181,2025-06
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,Abbott Exclusive,2025-06-30,598,2025-06
EAST JEFFERSON GEN HOSP,METAIRIE,LA,Abbott Exclusive,2025-06-30,946,2025-06
SCRIPPS MERCY HOSPITAL,SAN DIEGO,CA,Choice,2025-06-30,2371,2025-06
NORTHERN INYO HOSPITAL,BISHOP,CA,MJN Exclusive,2025-06-30,200,2025-06
NORTHERN LIGHT AR GOULD HOSPITAL,PRESQUE ISLE,ME,MJN Exclusive,2025-06-30,176,2025-06
LAKES REGIONAL HLTHCARE,SPIRIT LAKE,IA,MJN Exclusive,2025-07-31,167,2025-07
ST BARNABAS HOSPITAL,BRONX,NY,MJN Exclusive,2025-07-31,1050,2025-07
HEALTHALLIANCE HOSPITAL,KINGSTON,NY,MJN Exclusive,2025-07-31,225,2025-07
WASHINGTON HOSP,FREMONT,CA,Abbott Exclusive,2025-07-31,1806,2025-07
NORTHEAST GA MED CTR HABERSHAM,DEMOREST,GA,Abbott Exclusive,2025-08-01,401,2025-08
MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,Abbott Exclusive,2025-08-08,2777,2025-08
LAMB HEALTHCARE CENTER,LITTLEFIELD,TX,MJN Exclusive,2025-08-31,102,2025-08
ST ANTHONY REGIONAL HOSPITAL,CARROLL,IA,MJN Exclusive,2025-08-31,375,2025-08
BETH ISRAEL DEACONESS HOSPITAL,PLYMOUTH,MA,Choice,2025-08-31,1065,2025-08
FORT DUNCAN REGIONAL MEDICAL CENTER,EAGLE PASS,TX,MJN Exclusive,2025-08-31,1021,2025-08
PECOS CO MEMORIAL HOSP,FORT STOCKTON,TX,MJN Exclusive,2025-08-31,168,2025-08
VAL VERDE REGIONAL MEDICAL CENTER,DEL RIO,TX,MJN Exclusive,2025-08-31,851,2025-08
BUENA VISTA REGIONAL MEDICAL CTR,STORM LAKE,IA,MJN Exclusive,2025-08-31,330,2025-08
COLUMBUS COMMUNITY HOSPITAL,COLUMBUS,TX,MJN Exclusive,2025-08-31,361,2025-08
PIH HEALTH GOOD SAMARITAN HOSP,LOS ANGELES,CA,MJN Exclusive,2025-08-31,1771,2025-08
HEREFORD REGIONAL MEDICAL CENTER,HEREFORD,TX,MJN Exclusive,2025-08-31,467,2025-08
HUNTINGTON MEM HOSP,PASADENA,CA,Choice,2025-08-31,2822,2025-08
LAKEWOOD HEALTH SYSTEM,STAPLES,MN,MJN Exclusive,2025-09-14,450,2025-09
NORTON CHILDRENS HOSPITAL,LOUISVILLE,KY,MJN Exclusive,2025-09-26,2668,2025-09
WAYNE COUNTY HOSPITAL,CORYDON,IA,MJN Exclusive,2025-09-26,150,2025-09
NORTON WOMENS AND CHILDRENS HOSP,LOUISVILLE,KY,MJN Exclusive,2025-09-26,6243,2025-09
NORTON KINGS DAUGHTERS HEALTH,MADISON,IN,MJN Exclusive,2025-09-26,453,2025-09
NORTON HOSPITAL,LOUISVILLE,KY,MJN Exclusive,2025-09-26,2579,2025-09
TRI-COUNTY HOSPITAL,WADENA,MN,MJN Exclusive,2025-09-27,189,2025-09
GREENE COUNTY GENERAL HOSPITAL,LINTON,IN,MJN Exclusive,2025-09-27,94,2025-09
CUYUNA REGIONAL MED CTR,CROSBY,MN,MJN Exclusive,2025-09-28,250,2025-09
CITIZENS MEDICAL CTR,VICTORIA,TX,MJN Exclusive,2025-09-28,1012,2025-09
BROWNFIELD REGIONAL MEDICAL CENTER,BROWNFIELD,TX,MJN Exclusive,2025-09-30,151,2025-09
SEYMOUR HOSPITAL,SEYMOUR,TX,MJN Exclusive,2025-09-30,32,2025-09
MEMORIAL HERMANN CYPRESS HOSP,CYPRESS,TX,MJN Exclusive,2025-09-30,1850,2025-09
REDLANDS COMMUNITY HOSP,REDLANDS,CA,Abbott Exclusive,2025-09-30,2596,2025-09
MEMORIAL HERMANN GREATER HEIGHTS,HOUSTON,TX,MJN Exclusive,2025-09-30,2222,2025-09
MEMORIAL HERMANN KATY HOSP,KATY,TX,MJN Exclusive,2025-09-30,2343,2025-09
MEMORIAL HERMANN MEMORIAL CITY,HOUSTON,TX,MJN Exclusive,2025-09-30,4490,2025-09
MEMORIAL HERMANN NORTHEAST MED CTR,HUMBLE,TX,MJN Exclusive,2025-09-30,1428,2025-09
GEISINGER MEDICAL CENTER,DANVILLE,PA,MJN Exclusive,2025-09-30,1950,2025-09
MEMORIAL HERMANN SOUTHWEST,HOUSTON,TX,MJN Exclusive,2025-09-30,3594,2025-09
MEMORIAL HERMANN SUGAR LAND,SUGAR LAND,TX,MJN Exclusive,2025-09-30,1696,2025-09
MEMORIAL HERMANN TEXAS MED CTR,HOUSTON,TX,MJN Exclusive,2025-09-30,8456,2025-09
GEISINGER COMMUNITY MEDICAL CENTER,SCRANTON,PA,MJN Exclusive,2025-09-30,840,2025-09
GEISINGER - LEWISTOWN HOSPITAL,LEWISTOWN,PA,MJN Exclusive,2025-09-30,601,2025-09
GEISINGER-BLOOMSBURG HOSPITAL,BLOOMSBURG,PA,MJN Exclusive,2025-09-30,501,2025-09
MIDDLEFIELD CARE CTR,MIDDLEFIELD,OH,MJN Exclusive,2025-09-30,251,2025-09
REEVES REGIONAL HEALTH,PECOS,TX,MJN Exclusive,2025-09-30,152,2025-09
